廣告商,艾普特,,,,,,
Campaign 名稱,（範例：H1220-天王排熱水器-Q2）,,保證曝光數,（範例：300000）,,,
廣告總預算,（範例：300000）,,實際曝光數,（範例：300000）,,,
投放平台,（範例：meta）,,預估 CTR,（範例：3%）,,,
廣告開始,（範例：2026/6/9）,,預估點擊數,（範例：300000）,,,
廣告結束,（範例：2026/6/20）,,實際點擊數,（範例：300000）,,,
漏斗階段,（範例：前期、中期、後期、無),,素材種類,（範例：影片）,,,
廣告目標,（範例：曝光）,,素材風格,（範例：3D科幻）,,,
廣告單價,（範例：250）,,計價單位,（範例：CPM）,,,
GA4_有效頁面進站,（範例：300）,,KPI 目標值,"（範例：300,000）",,,
GA4_平均停留時間,（範例：10）,,KPI 實際值,"（範例：300,000）",,,
GTM_實際觸發事件,（範例：200）,,KPI 達成率,（範例：100%）,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
DATE,Impression,Click,Engagement,Cost,CTR,ETR,CPE
2025/3/12,"1,304",172,200,"$1,110",13.19%,15.34%,$5.55
2025/3/13,"1,050",108,129,$773,10.29%,12.29%,$5.99
TOTAL,"2,354",280,329,"$1,883",11.89%,13.98%,$5.72
,,,,,,,
,,,,,,,
,,,,,,,
年齡,Impression,Click,Engagement,Cost,CTR,ETR,CPE
25-34,"1,304",172,200,"$1,110",13.19%,15.34%,$5.55
35-44,"1,304",172,200,"$1,110",13.19%,15.34%,$5.55
45-54,"1,050",108,129,$773,10.29%,12.29%,$5.99
TOTAL,"3,658",452,329,NT$0.73,12.36%,0,17
,,,,,,,
,,,,,,,
,,,,,,,
受眾,Impression,Click,Engagement,Cost,CTR,ETR,CPE
興趣貼標,"1,304",172,200,"$1,110",13.19%,15.34%,$5.55
線上足跡追蹤,"1,304",172,200,"$1,110",13.19%,15.34%,$5.55
線下足跡追蹤,"1,304",172,200,"$1,110",13.19%,15.34%,$5.55
自定義關鍵字,"1,304",172,200,"$1,110",13.19%,15.34%,$5.55
電子發票數據,"1,304",172,200,"$1,110",13.19%,15.34%,$5.55
TOTAL,"6,520",860,"NT$1,000",NT$1.16,13.19%,1,28
